"city","population","total_billed_gallons","US_census_region","Climate_region","Annual.precipitation","Annual.max.temperature","Annual.vapor.pressure.deficit","Family.income.2010","GDP.per.capita.2016","Total.housing.units","Percent.single.family.houses","Percent.medium.density.houses","Percent.high.density.houses","Percent.housing.units.built.1990.or.later","Percent.housing.units.built.between.1950.1989","Percent.housing.units.built.before.1950","Percent.housing.units.built.earlier.to.1990","Median.rooms","Percent.impervious.area","Area.open.NLCD","Area.low.development.NLCD","Area.medium.development.NLCD","Area.high.development.NLCD","Service.area.sq.meters","Pop.density","Water.percap"
"Philadelphia, Pennsylvania",1574765,3992955461,"Northeast","Continental",99.91666667,17.975,13.15833333,45619,62817,679876,8,79.7,12,7,37.4,54.7,92.1,5.6,51.3,11166,12665,29033.4,24805.4,368900000,0.00426881268636487,2535.58814235775
"Phoenix, Arizona",1568308,7426804234.66667,"West","Arid",18.4,29.53333333,38.01666667,56269,41726,608384,61.2,24.9,10.5,35.6,59.1,4.9,64,5.1,29.1,26055.8,73059.9,82993.6,22693.5,1405880000,0.00111553475403306,4735.5520947841
"Pierre, South Dakota",13969,51072006.3333333,"Midwest","Continental",39.11666667,15,13.96666667,71065,52750,6426,56.5,24.5,10,25.6,61.4,16.2,77.6,5.5,24.2,1844.6,1375.5,1398.9,580.2,33851400,0.000412656492789072,3656.09609373136
"Pikeville, Kentucky",48286,71044487.5,"South","Temperate",93.70833333,20.18333333,15.275,54665,40932,3381,49.2,33,12,29.3,56.9,13.3,70.2,5.2,9.3,947.1,1124.5,906,291.2,56534200,0.000854102472485681,1471.32683386489
"Plainview, Texas",20859,80316166.6666667,"South","Arid",41.36666667,22.31666667,21.44166667,42644,57137,8315,77,16.6,3,7.6,67.6,22,89.6,5.1,22.2,1279.3,2794.7,782.3,429.5,35725100,0.000583875202588656,3850.43226744651
"Pocatello, Idaho",54746,282995500,"West","Continental",27.84166667,15.65833333,16.61666667,52778,28218,22751,63.4,25.4,4,20.9,55.3,23.6,78.9,6,22.5,3273.3,3810.9,4070.3,666.7,84777700,0.000645759439097782,5169.24524166149
"Ponca City, Oklahoma",24489,189724029,"South","Temperate",77.1,21.5,17.79166667,51275,48345,11573,81.3,12.1,3.7,6,64.6,25.7,90.3,5.4,20.7,2040.7,3618.8,1146.6,502,50797700,0.000482088755986984,7747.31630527992
"Poplar Bluff, Missouri",17144,52526416.6666667,"Midwest","Temperate",104.8,20.475,14.4,38139,44837,8351,75.7,19.1,3.6,21.6,60.8,16.9,77.7,5.3,19.1,2664.5,1746.6,891.9,281.3,33934400,0.000505210052336272,3063.83671644113
"Portland, Maine",164400,549535591,"Northeast","Continental",99.55,11.84166667,6.841666667,63239,51761,33785,36.7,48.9,14.2,11.6,33.2,54.3,87.5,4.9,15.6,16300.4,14598.9,7064.5,4045.4,372217000,0.000441677838465196,3342.67391119221
"Portland, Oregon",606979,2901806636.08333,"West","Temperate",92.99166667,17.20833333,11.30833333,63126,62715,277499,55.7,24.4,18.3,22,38.2,38.8,77,5,43.4,6415.3,22481.5,26946.1,15291.9,372088000,0.00163127808475414,4780.73646054202
